No.	Equipo	Y	A	H	PAGS	pelotas	O	% puntos
1	Lanza	8	8	0	0	18-6	24	100.0
2	Rennes	8	7	0	1	21-6	21	87.5
3	psg	7	6	1	0	19-7	19	90.5
4	lyon	8	5	2	1	16-6	17	70.8
5	Marsella	8	5	1	2	12-7	16	66.7
6	lila	8	5	1	2	15-15	16	66.7
7	Lorient	7	4	1	2	12-9	13	61.9
8	tolosa	8	3	3	2	13-14	12	50.0
9	Mónaco	8	3	2	3	15-15	11	45.8
10	nantes	7	2	4	1	11-9	10	47.6
11	Montpellier	8	3	1	4	11-13	10	41.7
12	Clermont	7	3	1	3	8-13	10	47.6
13	Auxerre	7	2	3	2	7-9	9	42.9
14	Reims	7	2	3	2	7-10	9	42.9
15	Veneno	7	1	5	1	10-11	8	38.1
16	agradable	7	2	2	3	6-9	8	38.1
17	Брест	7	1	3	3	5-13	6	28.6
18	Страсбург	8	0	5	3	7-13	5	20.8
19	Аяччо	7	1	1	5	6-13	4	19.0
20	ángel	8	1	1	6	9-18	4	16.7
