No.	Equipo	Y	A	H	PAGS	pelotas	O	% puntos
1	psg	15	13	2	0	43-9	41	91.1
2	Lanza	15	11	3	1	26-10	36	80.0
3	Rennes	15	9	4	2	31-14	31	68.9
4	Marsella	15	9	3	3	26-13	30	66.7
5	Lorient	15	8	4	3	26-21	28	62.2
6	Mónaco	15	8	3	4	29-21	27	60.0
7	lila	15	8	2	5	27-23	26	57.8
8	lyon	15	6	3	6	23-18	21	46.7
9	agradable	15	5	5	5	15-17	20	44.4
10	Clermont	15	5	4	6	19-23	19	42.2
11	Reims	15	3	8	4	16-21	17	37.8
12	tolosa	15	4	4	7	20-27	16	35.6
13	Veneno	15	3	5	7	26-31	14	31.1
14	Montpellier	15	4	2	9	24-29	14	31.1
15	nantes	15	2	7	6	17-24	13	28.9
16	Brest	15	3	4	8	16-28	13	28.9
17	Auxerre	15	3	4	8	14-31	13	28.9
18	ajaccio	15	3	3	9	14-24	12	26.7
19	Estrasburgo	15	1	8	6	17-26	11	24.4
20	ángel	15	2	2	11	15-34	8	17.8
